Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
214641955,Heroics 101: A Superhero Slice-of-Life LitRPG,Aest Belequa,,,,,0,,Podium Audio,Audible Audio,,2024,,2026/07/07,2026/07/07,,,read,,,,1,0
238465766,Dressed to Kill: A Monster Seamstress LitRPG,Crown Fall,,,"=""1039437354""","=""9781039437357""",0,,Podium Audio,Audible Audio,,2024,,2026/07/08,2026/07/08,,,read,,,,1,0
254403585,Andy in the Apocalypse 2,Plum Parrot,,,,,0,,Aethon Audio,Audible Audio,,2026,,2026/07/10,2026/07/10,,,read,,,,1,0
244164023,Lost Souls and a Demoness 2,N.C. Lux,,,,,0,,Royal Guard Publishing LLC,Audible Audio,,2025,,2026/07/14,2026/07/14,,,read,,,,1,0
231466381,Lost Souls and a Demoness 1,N. C. Lux,,,,,0,,Royal Guard Publishing LLC,Audible Audio,,2025,,2026/07/14,2026/07/14,,,read,,,,1,0
249508068,"Love, Gods and Sinners",Camille Chong,,,,,0,,,Audiobook,,,,2026/07/17,2026/07/17,,,read,,,,1,0
238465766,Dressed to Kill 2: A Monster Seamstress LitRPG,Crown Fall,,,"=""1039437362""","=""9781039437364""",0,,Podium Audio,Audible Audio,,2025,,2026/07/18,2026/07/18,,,read,,,,1,0
228360184,The Mercy Makers,Tessa Gratton,,,"=""1668649918""","=""9781668649916""",0,,Orbit,Audible Audio,,2025,,2026/07/20,2026/07/20,,,read,,,,1,0
243342492,The Shape of Monsters,Tessa Gratton,,,"=""1668657740""","=""9781668657744""",0,,Orbit,Audible Audio,,2026,,2026/07/25,2026/07/25,,,read,,,,1,0
251896095,The Red Sacrament,Sara Hinkley,,,,"=""9798349165719""",0,,Dreamscape Media,Audible Audio,,2026,,2026/07/31,2026/07/31,,,read,,,,1,0
199558022,The Water Outlaws,S. L. Huang,,,,,0,,Dreamscape Media,Audible Audio,,2023,,2026/08/05,2026/08/05,,,read,,,,1,0
,Green Crime,Julia Shaw,,,"=""1645023818""","=""9781645023814""",0,,Chelsea Green Publishing,Audible Audio,,2025,,2026/08/07,2026/08/07,,,read,,,,1,0
61491082,Bi,Julia Shaw,,,"=""1705077552""","=""9781705077559""",0,,Recorded Books,Audible Audio,,2022,,2026/08/07,2026/08/07,,,read,,,,1,0
49369307,The Memory Illusion,Julia Shaw,,,,,0,,Audible Studios,Audible Audio,,2016,,2026/08/09,2026/08/09,,,read,,,,1,0
253282946,The Devils,Joe Abercrombie,,,,,0,,Gollancz,Audible Audio,,2025,,2026/08/15,2026/08/15,,,read,,,,1,0
243263831,The Orb of Cairado,Katherine Addison,,,,"=""9798331989484""",0,,Tantor Media,Audible Audio,,2026,,2026/08/15,2026/08/15,,,read,,,,1,0
256694396,Meet Me in the Garden,Nina LaCour,,,"=""1250444152""","=""9781250444158""",0,,Macmillan Audio,Audible Audio,,2026,,2026/08/18,2026/08/18,,,read,,,,1,0
223353633,Lancer: An Epic Sci-Fi Adventure,T. R. More,,,"=""1039474802""","=""9781039474802""",0,,Podium Audio,Audible Audio,,2025,,2026/08/25,2026/08/25,,,read,,,,1,0
247637623,Stray Cat Strut 8: A Cyberpunk LitRPG,RavensDagger,,,"=""1039487211""","=""9781039487215""",0,,Podium Audio,Audible Audio,,2026,,2026/08/28,2026/08/28,,,read,,,,1,0
