title	author	issues	action	hardcover_url	amazon_url	abs_duration_seconds	hardcover_duration_seconds	abs_language	hardcover_language	abs_cover_path
Love, Gods and Sinners	Camille Chong	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/love-gods-and-sinners/editions	https://www.amazon.com/s?i=audible&k=Love%2C+Gods+and+Sinners+Camille+Chong+Audible+Audiobook	43683				/mnt/audiobooks/Camille Chong/Love, Gods and Sinners/cover.jpg
The Mercy Makers	Tessa Gratton	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/the-mercy-makers/editions	https://www.amazon.com/dp/B0DKGBNRKZ	69375		English		/mnt/audiobooks/Tessa Gratton/The Mercy Makers/cover.jpg
The Shape of Monsters	Tessa Gratton	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/the-shape-of-monsters/editions	https://www.amazon.com/dp/B0FY82H2RX	74272		English		/mnt/audiobooks/Tessa Gratton/Moon Heresies/The Shape of Monsters/cover.jpg
The Red Sacrament	Sara Hinkley	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/the-red-sacrament/editions	https://www.amazon.com/dp/B0GTN8YYX4	67010		English		/mnt/audiobooks/Sara Hinkley/The Red Sacrament/cover.jpg
The Water Outlaws	S. L. Huang	audiobook edition not identified	review_audiobook_editions	https://hardcover.app/books/the-water-outlaws/editions	https://www.amazon.com/dp/B0BSB2DVDQ	71037		English		/mnt/audiobooks/S. L. Huang/The Water Outlaws/cover.jpg
Green Crime	Julia Shaw	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/green-crime/editions	https://www.amazon.com/dp/B0FW5T4J31	31575		English		/mnt/audiobooks/Julia Shaw/Green Crime/cover.jpg
Bi	Julia Shaw	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/bi-the-hidden-culture-history-and-science-of-bisexuality/editions	https://www.amazon.com/dp/B0B2KQ2HPT	22868		English		/mnt/audiobooks/Julia Shaw/Bi/cover.jpg
The Memory Illusion	Julia Shaw	audiobook metadata needs review; duration missing	review_existing_audiobook	https://hardcover.app/books/the-memory-illusion/editions/31435320	https://www.amazon.com/dp/B01E9E62P4	29246		English	English	/mnt/audiobooks/Julia Shaw/The Memory Illusion/cover.jpg
The Devils	Joe Abercrombie	audiobook edition not identified	review_audiobook_editions	https://hardcover.app/books/the-devils-2025/editions	https://www.amazon.com/dp/B0CXY69BBB	90468		English		/mnt/audiobooks/Joe Abercrombie/The Devils/The Devils/cover.jpg
Meet Me in the Garden	Nina LaCour	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/meet-me-in-the-garden/editions	https://www.amazon.com/dp/B0FP3VKX27	58973		English		/metadata/items/3743cbb8-baa2-49aa-85aa-24fa0be4a8d5/cover.jpg
Lancer: An Epic Sci-Fi Adventure	T. R. More	audiobook edition missing; cover missing	create_audiobook_edition	https://hardcover.app/books/lancer-an-epic-sci-fi-adventure/editions	https://www.amazon.com/dp/B0DSGJCL1G	76377		English		/mnt/audiobooks/T. R. More/Godslayers/Lancer - An Epic Sci-Fi Adventure/cover.jpg
